month,oil_bpd,oil_bbl,water_bbl,field_price,revenue,royalties,opex,netback,live,capital,cf_btax,tax,cf_atax,disc_factor
100,21.75924283352841,661.9161669959343,3554.735241306497,63.0,41700.71852074386,18315.22422548165,30351.781744966636,-6966.287449704425,False,0.0,0.0,0.0,0.0,0.45371762723833897
101,21.553365976939588,655.6533930185024,3528.69138501416,63.0,41306.16376016565,18152.340972781665,30221.734100680165,-7067.911313296183,False,0.0,0.0,0.0,0.0,0.45012824143015934
102,21.351158917408878,649.5022542675781,3502.8235352008974,63.0,40918.64201885742,17992.36114736087,30093.067832842855,-7166.786961346304,False,0.0,0.0,0.0,0.0,0.4465672514560988
103,21.15252606126578,643.4598427837051,3477.137147828706,63.0,40537.97009537342,17835.209118532817,29965.779590625156,-7263.018613784552,False,0.0,0.0,0.0,0.0,0.44303443267510784
104,20.957375078000883,637.5233498727869,3451.6372139418904,63.0,40163.97104198557,17680.81183732082,29839.86523188885,-7356.7060272241,False,0.0,0.0,0.0,0.0,0.43952956222328476
105,20.765616762920956,631.6900619280556,3426.3282812146545,63.0,39796.4739014675,17529.098727795023,29715.31986292603,-7447.9446892535525,False,0.0,0.0,0.0,0.0,0.436052418999817
106,20.577164906659387,625.9573564605786,3401.21447495765,63.0,39435.31345701645,17380.001583833182,29592.137877951558,-7536.8260047682925,False,0.0,0.0,0.0,0.0,0.4326027836530331
107,20.39193617114705,620.3226983262933,3376.299518558839,63.0,39080.32999455648,17233.45447099276,29470.31299818185,-7623.437474618131,False,0.0,0.0,0.0,0.0,0.4291804385665648
108,20.209849971674377,614.7836361383346,3351.5867533389596,63.0,38731.36907671508,17089.393633202133,29349.83831035455,-7707.862866841606,False,0.0,0.0,0.0,0.0,0.4257851678456195
109,20.03082836469928,609.3377988541521,3327.07915780652,63.0,38388.28132781158,16947.7574039978,29230.70630456379,-7790.182380750011,False,0.0,0.0,0.0,0.0,0.42241675730336037
