top_mmd,base_mmd,pct,desc,gas_units,calcimetry_pct
1735,1740,100 TRZ,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",18.0,
1740,1745,80 20 TRZ,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso. Mudstone blanco de aspecto brechoide 1740-1750 90 10 Lutita arenosa gris claro, semidura a dura, calcárea. Arenisca gris claro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",22.0,
1750,1755,90 10,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso. 1750-1760 95 5 Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",10.0,
1760,1765,95 5,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",33.0,
1765,1770,95 5,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",25.0,
1770,1775,95 5,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",54.0,
1775,1780,100 TRZ,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",11.0,
1780,1785,100 TRZ,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",11.0,
1785,1790,100 TRZ,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",24.0,
1790,1795,90 10,"Lutita arenosa gris claro, semidura a dura, calcárea Arenisca gris claro de grano fino a medio, sub redondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",142.0,
