mMD,mTVD,mSS,inclination_deg,north_m,east_m,vs_m,dominant,grainstone_pct,mudwack_pct,oil_show
989.5,989.49,984.79,0.2267857142857143,-1.185892857142857,-3.265892857142857,3.47453565573289,shale,0.0,0.0,none
990.5,990.49,985.79,0.2332142857142857,-1.1841071428571428,-3.264107142857143,3.4722478548940496,shale,0.0,0.0,none
991.5,991.49,986.79,0.23964285714285716,-1.1823214285714285,-3.2623214285714286,3.4699603836031776,shale,0.0,0.0,none
992.5,992.49,987.79,0.24607142857142858,-1.1805357142857142,-3.2605357142857145,3.4676732425124395,shale,0.0,0.0,none
993.5,993.49,988.79,0.2525,-1.17875,-3.25875,3.4653864322756274,shale,0.0,0.0,none
994.5,994.49,989.79,0.25892857142857145,-1.1769642857142857,-3.256964285714286,3.463099953548166,shale,0.0,0.0,none
995.5,995.49,990.79,0.26535714285714285,-1.1751785714285714,-3.2551785714285715,3.4608138069871157,shale,0.0,0.0,none
996.5,996.49,991.79,0.2717857142857143,-1.1733928571428571,-3.2533928571428574,3.4585279932511814,shale,0.0,0.0,none
997.5,997.49,992.79,0.27821428571428575,-1.1716071428571428,-3.251607142857143,3.456242513000711,shale,0.0,0.0,none
998.5,998.49,993.79,0.28464285714285714,-1.1698214285714286,-3.249821428571429,3.453957366897707,shale,0.0,0.0,none
999.5,999.49,994.79,0.2910714285714286,-1.1680357142857143,-3.2480357142857144,3.451672555605825,shale,0.0,0.0,none
1000.5,1000.49,995.79,0.2975,-1.16625,-3.2462500000000003,3.4493880797903853,shale,0.0,0.0,none
1001.5,1001.49,996.79,0.30392857142857144,-1.1644642857142857,-3.244464285714286,3.44710394011837,shale,0.0,0.0,none
1002.5,1002.49,997.79,0.3103571428571429,-1.1626785714285715,-3.2426785714285717,3.4448201372584357,shale,0.0,0.0,none
1003.5,1003.49,998.79,0.31678571428571434,-1.1608928571428572,-3.2408928571428572,3.442536671880911,shale,0.0,0.0,none
1004.5,1004.49,999.79,0.3188888888888889,-1.1588888888888889,-3.239814814814815,3.4408463335469777,shale,0.0,0.0,none
1005.5,1005.49,1000.79,0.31666666666666665,-1.1566666666666665,-3.2394444444444446,3.4397497127581467,shale,0.0,0.0,none
1006.5,1006.49,1001.79,0.31444444444444447,-1.1544444444444444,-3.2390740740740744,3.4386542182440305,shale,0.0,0.0,none
1007.5,1007.49,1002.79,0.31222222222222223,-1.1522222222222223,-3.238703703703704,3.4375598510814043,shale,0.0,0.0,none
1008.5,1008.49,1003.79,0.31,-1.15,-3.2383333333333333,3.4364666123473073,shale,0.0,0.0,none
1009.5,1009.49,1004.79,0.30777777777777776,-1.1477777777777778,-3.237962962962963,3.4353745031190392,shale,0.0,0.0,none
1010.5,1010.49,1005.79,0.3055555555555556,-1.1455555555555554,-3.2375925925925926,3.434283524474155,shale,0.0,0.0,none
1011.5,1011.49,1006.79,0.30333333333333334,-1.1433333333333333,-3.2372222222222224,3.433193677490464,shale,0.0,0.0,none
1012.5,1012.49,1007.79,0.3011111111111111,-1.1411111111111112,-3.236851851851852,3.432104963246025,shale,0.0,0.0,none
1013.5,1013.49,1008.79,0.29888888888888887,-1.1388888888888888,-3.2364814814814817,3.431017382819145,shale,0.0,0.0,none
1014.5,1014.49,1009.79,0.2966666666666667,-1.1366666666666667,-3.236111111111111,3.4299309372883737,shale,0.0,0.0,none
1015.5,1015.49,1010.79,0.29444444444444445,-1.1344444444444444,-3.235740740740741,3.4288456277325032,shale,0.0,0.0,none
1016.5,1016.49,1011.79,0.2922222222222222,-1.1322222222222222,-3.2353703703703705,3.427761455230561,shale,0.0,0.0,none
1017.5,1017.49,1012.79,0.29000000000000004,-1.13,-3.2350000000000003,3.426678420861812,shale,0.0,0.0,none
