month_on_production,TEC-2,TEC-6,TEC-7,TEC-9,TEC-10,avg_4_pemex_wells,ifr_workbook_average,ifr_workbook_fit,ifr_tec12_curve
161,25.162047304172276,6.428764833208851,,25.162047304172276,,18.917619813851136,18.917619813851136,22.97707308128924,25.993338453762714
162,25.162047304172276,6.451807001069816,,25.162047304172276,,18.925300536471457,18.925300536471457,22.899526263814174,25.914340231170346
163,25.173171109346537,6.333523872716868,,25.334095490867472,,18.946930157643624,18.946930157643624,22.82270783225588,25.835582337111877
164,25.162047304172276,6.451807001069816,,25.162047304172276,,18.925300536471457,18.925300536471457,22.7466066142528,25.75706403973655
165,25.334095490867472,6.333523872716868,,25.334095490867472,,19.000571618150605,19.000571618150605,22.671211674445505,25.67878460940613
166,25.162047304172276,6.451807001069816,,25.162047304172276,,18.925300536471457,18.925300536471457,22.59651230807333,25.600743318726238
167,25.334095490867472,6.451807001069816,,25.162047304172276,,18.982649932036523,18.982649932036523,22.52249803478068,25.5229394425193
168,25.162047304172276,6.333523872716868,,25.173171109346537,,18.889580762078563,18.889580762078563,22.44915859262508,25.445372257801303
169,25.162047304172276,6.451807001069816,,25.162047304172276,,18.925300536471457,18.925300536471457,22.37648393227922,25.368041043806475
170,25.334095490867472,6.333523872716868,,25.334095490867472,,19.000571618150605,19.000571618150605,22.30446421141948,25.29094508196266
171,25.162047304172276,6.451807001069816,,25.162047304172276,,18.925300536471457,18.925300536471457,22.233089789294187,25.214083655897188
172,25.334095490867472,6.451807001069816,,25.334095490867472,,19.03999932760159,19.03999932760159,22.162351221464622,25.137456051395613
173,25.162047304172276,5.862245326834125,,25.162047304172276,,18.728779978392893,18.728779978392893,22.09223925471235,25.06106155644396
174,25.162047304172276,12.581023652086138,,25.162047304172276,,20.968372753476896,20.968372753476896,22.022744822106866,24.9848994611994
175,12.500376064572766,12.667047745433736,,25.334095490867472,,16.833839766957993,16.833839766957993,21.953859038227385,24.90896905795605
176,17.09728855283501,12.581023652086138,,25.162047304172276,,18.280119836364474,18.280119836364474,21.885573194533375,24.833269641198147
177,19.000571618150605,12.667047745433736,,25.334095490867472,,19.000571618150605,19.000571618150605,21.817878754878244,24.757800507538953
178,18.710240303102463,12.581023652086138,,25.162047304172276,,18.817770419786957,18.817770419786957,21.75076735116097,24.68256095575601
179,19.000571618150605,10.000300851658213,,25.162047304172276,,18.05430659132703,18.05430659132703,21.68423077911082,24.60755028673427
180,18.710240303102463,3.333433617219405,,6.428764833208851,,9.490812917843574,9.490812917843574,21.618260994200313,24.532767803513142
181,18.710240303102463,6.451807001069816,,11.290662251872176,,12.15090318534815,12.15090318534815,21.552850107681817,24.458212811250167
182,19.000571618150605,6.333523872716868,,12.667047745433736,,12.667047745433736,12.667047745433736,21.487990382743373,24.38388461722545
183,18.710240303102463,6.451807001069816,,12.581023652086138,,12.58102365208614,12.58102365208614,21.423674230779703,24.309782530817067
184,19.000571618150605,6.451807001069816,,12.667047745433736,,12.70647545488472,12.70647545488472,21.359894207774122,24.23590586352023
185,18.710240303102463,6.428764833208851,,12.581023652086138,,12.573342929465818,12.573342929465818,21.296643010787623,24.162253928931445
186,18.710240303102463,6.451807001069816,,12.581023652086138,,12.58102365208614,12.58102365208614,21.233913474551443,24.088826042723472
187,18.92914089778162,6.333523872716868,,12.667047745433736,,12.643237505310742,12.643237505310742,21.171698568159314,24.015621522668855
188,18.710240303102463,6.451807001069816,,12.581023652086138,,12.58102365208614,12.58102365208614,21.10999139185631,23.94263968861563
189,19.000571618150605,8.00024068132657,,12.667047745433736,,13.222620014970303,13.222620014970303,21.048785173920635,23.869879862488872
190,18.710240303102463,12.581023652086138,,12.581023652086138,,14.624095869091581,14.624095869091581,20.988073267635464,23.797341368265133
191,19.000571618150605,10.645481551765196,,12.581023652086138,,14.075692274000646,14.075692274000646,20.927849148347626,23.725023532004986
192,18.710240303102463,6.333523872716868,,12.500376064572766,,12.514713413464031,12.514713413464031,20.868106410610217,23.652925681804295
193,18.710240303102463,6.451807001069816,,12.581023652086138,,12.58102365208614,12.58102365208614,20.808838765406513,23.581047147821987
194,19.000571618150605,6.333523872716868,,12.667047745433736,,12.667047745433736,12.667047745433736,20.75004003745206,23.509387262234924
195,18.710240303102463,6.451807001069816,,12.581023652086138,,12.58102365208614,12.58102365208614,20.691704162572982,23.437945359283326
196,23.33403532053583,6.451807001069816,,12.667047745433736,,14.150963355679794,14.150963355679794,20.633825185157207,23.36672077522329
197,31.291263955188604,6.428764833208851,,12.581023652086138,,16.767017480161197,16.767017480161197,20.57639725567701,23.29571284832691
198,31.291263955188604,6.129216651016324,,12.581023652086138,,16.66716808609702,16.66716808609702,20.51941462827987,23.224920918898086
199,31.429516962354388,1.9355421003209443,,12.667047745433736,,15.344035602703022,15.344035602703022,20.46287165844591,23.15434432924205
200,31.291263955188604,19.000571618150605,,12.581023652086138,,20.95761974180845,20.95761974180845,20.406762800709526,23.083982423674115
201,31.334276001862403,18.710240303102463,,14.66710791576538,,21.57054140691008,21.57054140691008,20.35108260644305,23.01383454849884
202,31.291263955188604,19.000571618150605,,23.226505203851335,,24.506113592396847,24.506113592396847,20.29582572170077,22.943900052023935
203,30.334245916696577,18.06505960299548,,18.710240303102463,,22.369848607598172,22.369848607598172,20.240986885121135,22.874178284541635
204,31.291263955188604,25.334095490867472,,18.92914089778162,,25.184833447945902,25.184833447945902,20.18656092588532,22.804668598312993
205,31.291263955188604,25.162047304172276,,19.678011353262935,,25.377107537541274,25.377107537541274,20.132542761730512,22.735370347585018
